CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,15,198,158,
43,16,867,827,
86,22,799,759,
129,15,158,118,
172,15,118,78,
215,7,772,732,
258,22,759,719,
301,27,392,352,
344,22,719,679,
387,10,573,533,
430,8,210,170,
473,15,78,38,
516,25,71,31,
559,25,31,0,590
593,16,827,787,
636,10,533,493,
679,23,596,556,
722,13,382,342,
765,13,342,302,
808,1,931,891,
851,4,404,364,
894,26,754,714,
937,15,38,0,975
978,21,336,296,
1021,10,493,453,
1064,20,423,383,
1107,9,845,805,
1150,8,170,130,
1193,16,787,747,
1236,8,130,90,
1279,23,556,516,
1322,11,225,185,
1365,12,874,834,
1408,20,383,343,
1451,18,30,0,1481
1484,21,296,256,
1527,20,343,303,
1570,22,679,639,
1613,1,891,851,
1656,9,805,765,
1699,20,303,263,
1742,24,680,640,
1785,16,747,707,
1828,10,453,413,
1871,14,524,484,
1914,17,897,857,
1957,2,991,951,
2000,27,352,312,
2043,1,851,811,
2086,10,413,373,
2129,10,373,333,
2172,2,951,911,
2215,22,639,599,
2258,20,263,223,
2301,2,911,871,
2344,26,714,674,
2387,27,312,272,
2430,9,765,725,
2473,3,683,643,
2516,27,272,232,
2559,22,599,559,
2602,21,256,216,
2645,2,871,831,
2688,11,185,145,
2731,21,216,176,
2774,1,811,771,
2817,6,760,720,
2860,11,145,105,
2903,22,559,519,
2946,22,519,479,
2989,16,707,667,
3032,2,831,791,
3075,7,732,692,
3118,7,692,652,
3161,1,771,731,
3204,20,223,183,
3247,1,731,691,
3290,4,364,324,
3333,22,479,439,
3376,9,725,685,
3419,8,90,50,
3462,22,439,399,
3505,8,50,10,
3548,2,791,751,
3591,1,691,651,
3634,1,651,611,
3677,22,399,359,
3720,2,751,711,
3763,16,667,627,
3806,1,611,571,
3849,10,333,293,
3892,10,293,253,
3935,4,324,284,
3978,12,834,794,
4021,11,105,65,
4064,16,627,587,
4107,11,65,25,
4150,22,359,319,
4193,16,587,547,
4236,10,253,213,
4279,22,319,279,
4322,20,183,143,
4365,11,25,0,4390
4393,8,10,0,4403
4406,24,640,600,
4449,16,547,507,
4492,16,507,467,
4535,3,643,603,
4578,1,571,531,
4621,22,279,239,
4664,6,720,680,
4707,9,685,645,
4750,6,680,640,
4793,9,645,605,
4836,12,794,754,
4879,26,674,634,
4922,1,531,491,
4965,2,711,671,
5008,23,516,476,
5051,16,467,427,
