CpuTime, PID, StartingBurstTime, EndingBurstTime, CompletionTime
0,1,624,604,
23,2,488,468,
46,3,231,211,
69,4,337,317,
92,5,222,202,
115,6,130,110,
138,7,317,297,
161,8,439,419,
184,9,942,922,
207,1,604,584,
230,2,468,448,
253,3,211,191,
276,4,317,297,
299,5,202,182,
322,6,110,90,
345,7,297,277,
368,8,419,399,
391,9,922,902,
414,1,584,564,
437,2,448,428,
460,3,191,171,
483,4,297,277,
506,5,182,162,
529,6,90,70,
552,7,277,257,
575,8,399,379,
598,9,902,882,
621,1,564,544,
644,2,428,408,
667,3,171,151,
690,4,277,257,
713,5,162,142,
736,6,70,50,
759,7,257,237,
782,8,379,359,
805,9,882,862,
828,1,544,524,
851,2,408,388,
874,3,151,131,
897,4,257,237,
920,5,142,122,
943,6,50,30,
966,7,237,217,
989,8,359,339,
1012,9,862,842,
1035,1,524,504,
1058,2,388,368,
1081,3,131,111,
1104,4,237,217,
1127,5,122,102,
1150,6,30,10,
1173,7,217,197,
1196,8,339,319,
1219,9,842,822,
1242,1,504,484,
1265,2,368,348,
1288,3,111,91,
1311,4,217,197,
1334,5,102,82,
1357,6,10,0,1367
1370,7,197,177,
1393,8,319,299,
1416,9,822,802,
1439,1,484,464,
1462,2,348,328,
1485,3,91,71,
1508,4,197,177,
1531,5,82,62,
1554,7,177,157,
1577,8,299,279,
1600,9,802,782,
1623,1,464,444,
1646,2,328,308,
1669,3,71,51,
1692,4,177,157,
1715,5,62,42,
1738,7,157,137,
1761,8,279,259,
1784,9,782,762,
1807,1,444,424,
1830,2,308,288,
1853,3,51,31,
1876,4,157,137,
1899,5,42,22,
1922,7,137,117,
1945,8,259,239,
1968,9,762,742,
1991,1,424,404,
2014,2,288,268,
2037,3,31,11,
2060,4,137,117,
2083,5,22,2,
2106,7,117,97,
2129,8,239,219,
2152,9,742,722,
2175,1,404,384,
2198,2,268,248,
2221,3,11,0,2232
2235,4,117,97,
2258,5,2,0,2260
2263,7,97,77,
2286,8,219,199,
2309,9,722,702,
2332,1,384,364,
2355,2,248,228,
2378,4,97,77,
2401,7,77,57,
2424,8,199,179,
2447,9,702,682,
2470,1,364,344,
2493,2,228,208,
2516,4,77,57,
2539,7,57,37,
2562,8,179,159,
2585,9,682,662,
2608,1,344,324,
2631,2,208,188,
2654,4,57,37,
2677,7,37,17,
2700,8,159,139,
2723,9,662,642,
2746,1,324,304,
2769,2,188,168,
2792,4,37,17,
2815,7,17,0,2832
2835,8,139,119,
2858,9,642,622,
2881,1,304,284,
2904,2,168,148,
2927,4,17,0,2944
2947,8,119,99,
2970,9,622,602,
2993,1,284,264,
3016,2,148,128,
3039,8,99,79,
3062,9,602,582,
3085,1,264,244,
3108,2,128,108,
3131,8,79,59,
3154,9,582,562,
3177,1,244,224,
3200,2,108,88,
3223,8,59,39,
3246,9,562,542,
3269,1,224,204,
3292,2,88,68,
3315,8,39,19,
3338,9,542,522,
3361,1,204,184,
3384,2,68,48,
3407,8,19,0,3426
3429,9,522,502,
3452,1,184,164,
3475,2,48,28,
3498,9,502,482,
3521,1,164,144,
3544,2,28,8,
3567,9,482,462,
3590,1,144,124,
3613,2,8,0,3621
3624,9,462,442,
3647,1,124,104,
3670,9,442,422,
3693,1,104,84,
3716,9,422,402,
3739,1,84,64,
3762,9,402,382,
3785,1,64,44,
3808,9,382,362,
3831,1,44,24,
3854,9,362,342,
3877,1,24,4,
3900,9,342,322,
3923,1,4,0,3927
3930,9,322,302,
3953,9,302,282,
3976,9,282,262,
3999,9,262,242,
4022,9,242,222,
4045,9,222,202,
4068,9,202,182,
4091,9,182,162,
4114,9,162,142,
4137,9,142,122,
4160,9,122,102,
4183,9,102,82,
4206,9,82,62,
4229,9,62,42,
4252,9,42,22,
4275,9,22,2,
4298,9,2,0,4300
AverageTurnaroundTime: ,2989.9
